,filename,dataset_name,ocr.line,ocr.sentence,groundtruth.line,groundtruth.sentence,prediction.line,prediction.sentence,model,prompt,prompt_text,language,file,name_of_file_idx,prediction.line.postprocessed,post-processings,line-lev-ocr,line-lev-pred,line-lev-improvement,quality-band-line,line-lev-pred-postprocessed,line-lev-improvement-postprocessed,overall-levenshtein-improvement,overall-levenshtein-improvement-postprocessed,overall-lev-ocr,improvement-band
0,../../data/datasets/asr/original/ina/3_impresso2-SingleURL-PHD90010642.txt,ina-last,décembre mille neuf cent quarante une réalisation de jacques berniole sur un texte de pierre pas de,décembre mille neuf cent quarante une réalisation de jacques berniole sur un texte de pierre pas de,"Quinze décembre mille neuf cent quarante, une réalisation de Jacques Bernole sur un texte de Pierre Pascal.","Quinze décembre mille neuf cent quarante, une réalisation de Jacques Bernole sur un texte de Pierre Pascal.","Décembre mille neuf cent quarante et un, réalisation de Jacques Berniole sur un texte de Pierre Pas de.","Décembre mille neuf cent quarante et un, réalisation de Jacques Berniole sur un texte de Pierre Pas de.",deepseek-deepseek-v3-turbo-temp0.05,prompt_basic_01,prompt_basic_01,fr,results-ina_last-deepseek-deepseek-v3-turbo-temp0.05.jsonl,results-ina_last-deepseek-deepseek-v3-turbo-temp0.05.jsonl_0,"Décembre mille neuf cent quarante et un, réalisation de Jacques Berniole sur un texte de Pierre Pas de.",NONE,0.8411214953271028,0.8504672897196262,0.011111111111111113,80-99%,0.8504672897196262,0.011111111111111113,0.011111111111111113,0.011111111111111113,0.8411214953271028,Positive Improvement
1,../../data/datasets/asr/original/ina/3_impresso2-SingleURL-PHD90010642.txt,ina-last,déjà trois années là cela se passait à la gare de l'est vous s'étaient amassés à quelques mois de ce jour la foule énorme et combien silencieuse des hommes dans le fascicule portaient la mention immédiatement et sans de l,cela se passait à la gare de l'est vous s'étaient amassés à quelques mois de ce jour la foule énorme et combien silencieuse des hommes dans le fascicule portaient la mention immédiatement et sans de l au,"Déjà trois années de cela. Cela se passait à la Gare de l'Est où s'étaient amassés à quelques mois de ce jour la foule énorme, et combien silencieuse, des hommes dont le fascicule portait la mention""immédiatement et sans délai"".","Cela se passait à la Gare de l'Est où s'étaient amassés à quelques mois de ce jour la foule énorme, et combien silencieuse, des hommes dont le fascicule portait la mention""immédiatement et sans délai"".","Déjà trois années là, cela se passait à la gare de l'Est. Vous vous étiez amassés à quelques mois de ce jour, la foule énorme et combien silencieuse. Des hommes dans le fascicule portaient la mention ""immédiatement et sans délai"".","Cela se passait à la gare de l'Est. Vous vous étiez amassés à quelques mois de ce jour. La foule, énorme et combien silencieuse, des hommes dans le fascicule portaient la mention ""immédiatement et sans délai"".",deepseek-deepseek-v3-turbo-temp0.05,prompt_basic_01,prompt_basic_01,fr,results-ina_last-deepseek-deepseek-v3-turbo-temp0.05.jsonl,results-ina_last-deepseek-deepseek-v3-turbo-temp0.05.jsonl_1,"Déjà trois années là, cela se passait à la gare de l'Est. Vous vous étiez amassés à quelques mois de ce jour, la foule énorme et combien silencieuse. Des hommes dans le fascicule portaient la mention ""immédiatement et sans délai"".",NONE,0.881578947368421,0.8739130434782608,-0.00869565217391306,80-99%,0.8739130434782608,-0.00869565217391306,-0.00869565217391306,-0.00869565217391306,0.881578947368421,Negative Improvement
2,../../data/datasets/asr/original/ina/3_impresso2-SingleURL-PHD90010642.txt,ina-last,au delà de pompiers vingt huit de la même car le rapide de francfort dix accoster à vingt et un heures cinq bon pour vont immatriculer deux cent sept mille neuf cent soixante douze avait quitté vienne le treize décembre à quatorze dans ce fourgon,delà de pompiers vingt huit de la même car,Cela se passait au quai vingt-huit de la même gare. Le rapide de Francfort venait d'y accoster à vingt et une heures cinq. Son fourgon immatriculé deux cent sept mille neuf cent soixante-douze avait quitté Vienne le treize décembre à quatorze heures. Dans ce fourgon,Cela se passait au quai vingt-huit de la même gare.,"Au-delà, vingt-huit pompiers de la même caserne, le rapide de Francfort, dix accoster à vingt et une heures cinq, bon pour vont immatriculer deux cent sept mille neuf cent soixante-douze, avait quitté Vienne le treize décembre à quatorze dans ce fourgon.","Au-delà des pompiers, vingt-huit de la même carrière.",deepseek-deepseek-v3-turbo-temp0.05,prompt_basic_01,prompt_basic_01,fr,results-ina_last-deepseek-deepseek-v3-turbo-temp0.05.jsonl,results-ina_last-deepseek-deepseek-v3-turbo-temp0.05.jsonl_2,"Au-delà, vingt-huit pompiers de la même caserne, le rapide de Francfort, dix accoster à vingt et une heures cinq, bon pour vont immatriculer deux cent sept mille neuf cent soixante-douze, avait quitté Vienne le treize décembre à quatorze dans ce fourgon.",NONE,0.7969924812030075,0.7593984962406015,-0.047169811320754644,60-80%,0.7593984962406015,-0.047169811320754644,-0.047169811320754644,-0.047169811320754644,0.7969924812030075,Negative Improvement
3,../../data/datasets/asr/original/ina/3_impresso2-SingleURL-PHD90010642.txt,ina-last,se trouvait un cercueil de bronze à huit golden lion que des officiers allemands n'avait pas cessé de veiller tout le long du parcours ce cercueil était celui d'un roi du roi de rome du fils de napoléon il faisait froid,ce cercueil était celui d'un roi du roi de rome du fils de napoléon,"se trouvait un cercueil de bronze à huit gueules de lion que des officiers allemands n'avaient pas cessé de veiller tout le long du parcours. Ce cercueil était celui d'un roi, du roi de Rome, du fils de Napoléon. Il faisait froid,","Ce cercueil était celui d'un roi, du roi de Rome, du fils de Napoléon.","Se trouvait un cercueil de bronze à huit lions dorés que des officiers allemands n'avaient pas cessé de veiller tout le long du parcours. Ce cercueil était celui d'un roi, du roi de Rome, du fils de Napoléon. Il faisait froid.","Ce cercueil était celui d'un roi, le roi de Rome, le fils de Napoléon.",deepseek-deepseek-v3-turbo-temp0.05,prompt_basic_01,prompt_basic_01,fr,results-ina_last-deepseek-deepseek-v3-turbo-temp0.05.jsonl,results-ina_last-deepseek-deepseek-v3-turbo-temp0.05.jsonl_3,"Se trouvait un cercueil de bronze à huit lions dorés que des officiers allemands n'avaient pas cessé de veiller tout le long du parcours. Ce cercueil était celui d'un roi, du roi de Rome, du fils de Napoléon. Il faisait froid.",NONE,0.9217391304347826,0.9391304347826087,0.018867924528301896,80-99%,0.9391304347826087,0.018867924528301896,0.018867924528301896,0.018867924528301896,0.9217391304347826,Positive Improvement
4,../../data/datasets/asr/original/ina/3_impresso2-SingleURL-PHD90010642.txt,ina-last,très froid même un grand silence règne sur les hommes et sur les choses car la neige tomber comme il se lit dans les contes de fées de notre enfance,un grand silence règne sur les hommes et sur les choses car la neige tomber comme il se lit dans les contes de fées de notre enfance,"très froid même. Un grand silence régnait sur les hommes et sur les choses, car la neige tombait, comme il se lit dans les contes de fées de notre enfance.","Un grand silence régnait sur les hommes et sur les choses, car la neige tombait, comme il se lit dans les contes de fées de notre enfance.","Très froid, même un grand silence règne sur les hommes et sur les choses, car la neige tombe comme il se lit dans les contes de fées de notre enfance.","Un grand silence règne sur les hommes et sur les choses, car la neige tombe comme il se lit dans les contes de fées de notre enfance.",deepseek-deepseek-v3-turbo-temp0.05,prompt_basic_01,prompt_basic_01,fr,results-ina_last-deepseek-deepseek-v3-turbo-temp0.05.jsonl,results-ina_last-deepseek-deepseek-v3-turbo-temp0.05.jsonl_4,"Très froid, même un grand silence règne sur les hommes et sur les choses, car la neige tombe comme il se lit dans les contes de fées de notre enfance.",NONE,0.9225806451612903,0.9225806451612903,0.0,80-99%,0.9225806451612903,0.0,0.0,0.0,0.9225806451612903,No Improvement
5,../../data/datasets/asr/original/ina/3_impresso2-SingleURL-PHD90010642.txt,ina-last,vingt et un heures un trois heures plus tard les malheureux allait connaître la plus extraordinaire épopée qu'un peuple vaincu ait jamais connu,vingt et un heures un,"Vingt et une heures quinze. Trois heures plus tard, ces cendres malheureuses allaient connaître la plus extraordinaire épopée qu'un peuple vaincu ait jamais connue.",Vingt et une heures quinze.,"Vingt et une heures. Treize heures plus tard, les malheureux allaient connaître la plus extraordinaire épopée qu'un peuple vaincu ait jamais connue.",vingt et un heures un,deepseek-deepseek-v3-turbo-temp0.05,prompt_basic_01,prompt_basic_01,fr,results-ina_last-deepseek-deepseek-v3-turbo-temp0.05.jsonl,results-ina_last-deepseek-deepseek-v3-turbo-temp0.05.jsonl_5,"Vingt et une heures. Treize heures plus tard, les malheureux allaient connaître la plus extraordinaire épopée qu'un peuple vaincu ait jamais connue.",NONE,0.8475609756097561,0.8658536585365854,0.02158273381294966,80-99%,0.8658536585365854,0.02158273381294966,0.02158273381294966,0.02158273381294966,0.8475609756097561,Positive Improvement
6,../../data/datasets/asr/original/ina/3_impresso2-SingleURL-PHD90010642.txt,ina-last,des sentinelles immobile terroir avait déjà pris leurs pas question devant le fourgon est les garder jusqu'aux douze coups de minuit celui dont l'mettait en somme la le l'empereur,des sentinelles immobile terroir avait déjà pris leurs pas question devant le fourgon,Des sentinelles immobiles et roides avaient déjà pris leur faction devant le fourgon. Elles allaient garder jusqu'aux douze coups de minuit celui dont l'âme était en somme l'âme de l'empereur.,Des sentinelles immobiles et roides avaient déjà pris leur faction devant le fourgon.,"Des sentinelles immobiles, le terroir avait déjà pris leurs postes devant le fourgon et les gardaient jusqu'aux douze coups de minuit, celui dont l'ordre mettait en somme la loi de l'empereur.","Des sentinelles immobiles, le terroir avait déjà pris leurs pas, stationnaient devant le fourgon.",deepseek-deepseek-v3-turbo-temp0.05,prompt_basic_01,prompt_basic_01,fr,results-ina_last-deepseek-deepseek-v3-turbo-temp0.05.jsonl,results-ina_last-deepseek-deepseek-v3-turbo-temp0.05.jsonl_6,"Des sentinelles immobiles, le terroir avait déjà pris leurs postes devant le fourgon et les gardaient jusqu'aux douze coups de minuit, celui dont l'ordre mettait en somme la loi de l'empereur.",NONE,0.8020833333333334,0.7708333333333334,-0.03896103896103896,80-99%,0.7708333333333334,-0.03896103896103896,-0.03896103896103896,-0.03896103896103896,0.8020833333333334,Negative Improvement
7,../../data/datasets/asr/original/ina/3_impresso2-SingleURL-PHD90010642.txt,ina-last,paris conduit faite aux invalides les ossements de napoléon aujourd'hui était restitué au père celui qui avait peut être été la meilleure penser de sa vie inégalé,aujourd'hui était restitué au père celui qui avait peut être été la meilleure penser de sa vie inégalé,Paris conduisait aux Invalides les ossements de Napoléon. Aujourd'hui était restitué au père celui qui avait peut-être été la meilleure pensée de sa vie inégalée.,Aujourd'hui était restitué au père celui qui avait peut-être été la meilleure pensée de sa vie inégalée.,Paris conduit faite aux Invalides les ossements de Napoléon aujourd'hui était restitué au père celui qui avait peut-être été la meilleure pensée de sa vie inégalée.,"Aujourd'hui était restitué au père celui qui avait peut-être été la meilleure pensée de sa vie, inégalée.",deepseek-deepseek-v3-turbo-temp0.05,prompt_basic_01,prompt_basic_01,fr,results-ina_last-deepseek-deepseek-v3-turbo-temp0.05.jsonl,results-ina_last-deepseek-deepseek-v3-turbo-temp0.05.jsonl_7,Paris conduit faite aux Invalides les ossements de Napoléon aujourd'hui était restitué au père celui qui avait peut-être été la meilleure pensée de sa vie inégalée.,NONE,0.9135802469135802,0.9634146341463414,0.05454845088991433,80-99%,0.9634146341463414,0.05454845088991433,0.05454845088991433,0.05454845088991433,0.9135802469135802,Positive Improvement
8,../../data/datasets/asr/original/ina/3_impresso2-SingleURL-PHD90010642.txt,ina-last,minuit le cercueil de françois charles joseph napoléon bonaparte est porté à brad soldat jusqu'à l'appui de canon qui sera son corbillard étrange,minuit le cercueil de françois charles joseph napoléon bonaparte est porté à brad soldat jusqu'à l'appui de canon qui sera son corbillard étrange bien y,"Minuit, le cercueil de François Charles Joseph Napoléon Bonaparte est porté à bras de soldats jusqu'à l'affût de canon qui sera son corbillard étrange et merveilleux.","Minuit, le cercueil de François Charles Joseph Napoléon Bonaparte est porté à bras de soldats jusqu'à l'affût de canon qui sera son corbillard étrange et merveilleux.",Minuit. Le cercueil de François Charles Joseph Napoléon Bonaparte est porté par des soldats jusqu'à l'affût de canon qui sera son corbillard étrange.,"Minuit. Le cercueil de François Charles Joseph Napoléon Bonaparte est porté par des soldats jusqu'à l'affût de canon qui sera son corbillard. Étrange, bien sûr.",deepseek-deepseek-v3-turbo-temp0.05,prompt_basic_01,prompt_basic_01,fr,results-ina_last-deepseek-deepseek-v3-turbo-temp0.05.jsonl,results-ina_last-deepseek-deepseek-v3-turbo-temp0.05.jsonl_8,Minuit. Le cercueil de François Charles Joseph Napoléon Bonaparte est porté par des soldats jusqu'à l'affût de canon qui sera son corbillard étrange.,NONE,0.8132530120481928,0.8614457831325302,0.05925925925925931,80-99%,0.8614457831325302,0.05925925925925931,0.05925925925925931,0.05925925925925931,0.8132530120481928,Positive Improvement
9,../../data/datasets/asr/original/ina/3_impresso2-SingleURL-PHD90010642.txt,ina-last,bien y minuit cain qui irait par,minuit cain qui,"Minuit quinze. Tiré par vingt hommes,",Minuit quinze.,"Bien y minuit, Cain qui irait par...",minuit cain qui,deepseek-deepseek-v3-turbo-temp0.05,prompt_basic_01,prompt_basic_01,fr,results-ina_last-deepseek-deepseek-v3-turbo-temp0.05.jsonl,results-ina_last-deepseek-deepseek-v3-turbo-temp0.05.jsonl_9,"Bien y minuit, Cain qui irait par...",NONE,0.24324324324324326,0.21621621621621623,-0.1111111111111111,0-40%,0.21621621621621623,-0.1111111111111111,-0.1111111111111111,-0.1111111111111111,0.24324324324324326,Negative Improvement
