,filename,dataset_name,ocr.line,ocr.sentence,groundtruth.line,groundtruth.sentence,prediction.line,prediction.sentence,model,prompt,prompt_text,language,file,name_of_file_idx,prediction.line.postprocessed,post-processings,line-lev-ocr,line-lev-pred,line-lev-improvement,quality-band-line,line-lev-pred-postprocessed,line-lev-improvement-postprocessed,overall-levenshtein-improvement,overall-levenshtein-improvement-postprocessed,overall-lev-ocr,improvement-band
0,../../data/datasets/asr/original/ina/3_impresso2-SingleURL-PHD90010642.txt,ina-last,décembre mille neuf cent quarante une réalisation de jacques berniole sur un texte de pierre pas de,décembre mille neuf cent quarante une réalisation de jacques berniole sur un texte de pierre pas de,"Quinze décembre mille neuf cent quarante, une réalisation de Jacques Bernole sur un texte de Pierre Pascal.","Quinze décembre mille neuf cent quarante, une réalisation de Jacques Bernole sur un texte de Pierre Pascal.","décembre mille neuf cent quarante, une réalisation de Jacques Berniole sur un texte de Pierre Pas de","décembre mille neuf cent quarante, une réalisation de Jacques Berniole sur un texte de Pierre Pas de",gpt-4.1-temp0.7,prompt_basic_01,prompt_basic_01,fr,results-ina_last-gpt-4.1-temp0.7.jsonl,results-ina_last-gpt-4.1-temp0.7.jsonl_0,"décembre mille neuf cent quarante, une réalisation de Jacques Berniole sur un texte de Pierre Pas de",NONE,0.8411214953271028,0.8878504672897196,0.055555555555555566,80-99%,0.8878504672897196,0.055555555555555566,0.055555555555555566,0.055555555555555566,0.8411214953271028,Positive Improvement
1,../../data/datasets/asr/original/ina/3_impresso2-SingleURL-PHD90010642.txt,ina-last,déjà trois années là cela se passait à la gare de l'est vous s'étaient amassés à quelques mois de ce jour la foule énorme et combien silencieuse des hommes dans le fascicule portaient la mention immédiatement et sans de l,cela se passait à la gare de l'est vous s'étaient amassés à quelques mois de ce jour la foule énorme et combien silencieuse des hommes dans le fascicule portaient la mention immédiatement et sans de l au,"Déjà trois années de cela. Cela se passait à la Gare de l'Est où s'étaient amassés à quelques mois de ce jour la foule énorme, et combien silencieuse, des hommes dont le fascicule portait la mention""immédiatement et sans délai"".","Cela se passait à la Gare de l'Est où s'étaient amassés à quelques mois de ce jour la foule énorme, et combien silencieuse, des hommes dont le fascicule portait la mention""immédiatement et sans délai"".","déjà trois années là, cela se passait à la gare de l'Est. Vous s'étaient amassés à quelques mois de ce jour, la foule énorme et combien silencieuse des hommes dans le fascicule portaient la mention immédiatement et sans de l",cela se passait à la gare de l'Est. Vous s'étaient amassés à quelques mois de ce jour la foule énorme et combien silencieuse des hommes dans le fascicule portaient la mention immédiatement et sans délai.,gpt-4.1-temp0.7,prompt_basic_01,prompt_basic_01,fr,results-ina_last-gpt-4.1-temp0.7.jsonl,results-ina_last-gpt-4.1-temp0.7.jsonl_1,"déjà trois années là, cela se passait à la gare de l'Est. Vous s'étaient amassés à quelques mois de ce jour, la foule énorme et combien silencieuse des hommes dans le fascicule portaient la mention immédiatement et sans de l",NONE,0.881578947368421,0.8771929824561403,-0.004975124378109468,80-99%,0.8771929824561403,-0.004975124378109468,-0.004975124378109468,-0.004975124378109468,0.881578947368421,Negative Improvement
2,../../data/datasets/asr/original/ina/3_impresso2-SingleURL-PHD90010642.txt,ina-last,au delà de pompiers vingt huit de la même car le rapide de francfort dix accoster à vingt et un heures cinq bon pour vont immatriculer deux cent sept mille neuf cent soixante douze avait quitté vienne le treize décembre à quatorze dans ce fourgon,delà de pompiers vingt huit de la même car,Cela se passait au quai vingt-huit de la même gare. Le rapide de Francfort venait d'y accoster à vingt et une heures cinq. Son fourgon immatriculé deux cent sept mille neuf cent soixante-douze avait quitté Vienne le treize décembre à quatorze heures. Dans ce fourgon,Cela se passait au quai vingt-huit de la même gare.,au-delà de pompiers vingt-huit de la même car le rapide de Francfort dix accoster à vingt et une heures cinq bon pour vont immatriculer deux cent sept mille neuf cent soixante-douze avait quitté Vienne le treize décembre à quatorze dans ce fourgon,delà de pompiers vingt-huit de la même car,gpt-4.1-temp0.7,prompt_basic_01,prompt_basic_01,fr,results-ina_last-gpt-4.1-temp0.7.jsonl,results-ina_last-gpt-4.1-temp0.7.jsonl_2,au-delà de pompiers vingt-huit de la même car le rapide de Francfort dix accoster à vingt et une heures cinq bon pour vont immatriculer deux cent sept mille neuf cent soixante-douze avait quitté Vienne le treize décembre à quatorze dans ce fourgon,NONE,0.7969924812030075,0.8157894736842105,0.023584905660377395,60-80%,0.8157894736842105,0.023584905660377395,0.023584905660377395,0.023584905660377395,0.7969924812030075,Positive Improvement
3,../../data/datasets/asr/original/ina/3_impresso2-SingleURL-PHD90010642.txt,ina-last,se trouvait un cercueil de bronze à huit golden lion que des officiers allemands n'avait pas cessé de veiller tout le long du parcours ce cercueil était celui d'un roi du roi de rome du fils de napoléon il faisait froid,ce cercueil était celui d'un roi du roi de rome du fils de napoléon,"se trouvait un cercueil de bronze à huit gueules de lion que des officiers allemands n'avaient pas cessé de veiller tout le long du parcours. Ce cercueil était celui d'un roi, du roi de Rome, du fils de Napoléon. Il faisait froid,","Ce cercueil était celui d'un roi, du roi de Rome, du fils de Napoléon.","se trouvait un cercueil de bronze à huit gondoles lion que des officiers allemands n'avaient pas cessé de veiller tout le long du parcours. Ce cercueil était celui d'un roi, du roi de Rome, du fils de Napoléon. Il faisait froid.","Ce cercueil était celui d'un roi, du roi de Rome, du fils de Napoléon.",gpt-4.1-temp0.7,prompt_basic_01,prompt_basic_01,fr,results-ina_last-gpt-4.1-temp0.7.jsonl,results-ina_last-gpt-4.1-temp0.7.jsonl_3,"se trouvait un cercueil de bronze à huit gondoles lion que des officiers allemands n'avaient pas cessé de veiller tout le long du parcours. Ce cercueil était celui d'un roi, du roi de Rome, du fils de Napoléon. Il faisait froid.",NONE,0.9217391304347826,0.9652173913043478,0.047169811320754686,80-99%,0.9652173913043478,0.047169811320754686,0.047169811320754686,0.047169811320754686,0.9217391304347826,Positive Improvement
4,../../data/datasets/asr/original/ina/3_impresso2-SingleURL-PHD90010642.txt,ina-last,très froid même un grand silence règne sur les hommes et sur les choses car la neige tomber comme il se lit dans les contes de fées de notre enfance,un grand silence règne sur les hommes et sur les choses car la neige tomber comme il se lit dans les contes de fées de notre enfance,"très froid même. Un grand silence régnait sur les hommes et sur les choses, car la neige tombait, comme il se lit dans les contes de fées de notre enfance.","Un grand silence régnait sur les hommes et sur les choses, car la neige tombait, comme il se lit dans les contes de fées de notre enfance.",très froid même un grand silence règne sur les hommes et sur les choses car la neige tombe comme il se lit dans les contes de fées de notre enfance,un grand silence règne sur les hommes et sur les choses car la neige tombe comme il se lit dans les contes de fées de notre enfance,gpt-4.1-temp0.7,prompt_basic_01,prompt_basic_01,fr,results-ina_last-gpt-4.1-temp0.7.jsonl,results-ina_last-gpt-4.1-temp0.7.jsonl_4,très froid même un grand silence règne sur les hommes et sur les choses car la neige tombe comme il se lit dans les contes de fées de notre enfance,NONE,0.9225806451612903,0.9225806451612903,0.0,80-99%,0.9225806451612903,0.0,0.0,0.0,0.9225806451612903,No Improvement
5,../../data/datasets/asr/original/ina/3_impresso2-SingleURL-PHD90010642.txt,ina-last,vingt et un heures un trois heures plus tard les malheureux allait connaître la plus extraordinaire épopée qu'un peuple vaincu ait jamais connu,vingt et un heures un,"Vingt et une heures quinze. Trois heures plus tard, ces cendres malheureuses allaient connaître la plus extraordinaire épopée qu'un peuple vaincu ait jamais connue.",Vingt et une heures quinze.,"vingt et un heures, un, trois heures plus tard, les malheureux allaient connaître la plus extraordinaire épopée qu'un peuple vaincu ait jamais connue.",vingt et une heures une,gpt-4.1-temp0.7,prompt_basic_01,prompt_basic_01,fr,results-ina_last-gpt-4.1-temp0.7.jsonl,results-ina_last-gpt-4.1-temp0.7.jsonl_5,"vingt et un heures, un, trois heures plus tard, les malheureux allaient connaître la plus extraordinaire épopée qu'un peuple vaincu ait jamais connue.",NONE,0.8475609756097561,0.8719512195121951,0.028776978417266213,80-99%,0.8719512195121951,0.028776978417266213,0.028776978417266213,0.028776978417266213,0.8475609756097561,Positive Improvement
6,../../data/datasets/asr/original/ina/3_impresso2-SingleURL-PHD90010642.txt,ina-last,des sentinelles immobile terroir avait déjà pris leurs pas question devant le fourgon est les garder jusqu'aux douze coups de minuit celui dont l'mettait en somme la le l'empereur,des sentinelles immobile terroir avait déjà pris leurs pas question devant le fourgon,Des sentinelles immobiles et roides avaient déjà pris leur faction devant le fourgon. Elles allaient garder jusqu'aux douze coups de minuit celui dont l'âme était en somme l'âme de l'empereur.,Des sentinelles immobiles et roides avaient déjà pris leur faction devant le fourgon.,des sentinelles immobiles terroir avait déjà pris leurs pas question devant le fourgon et les garder jusqu'aux douze coups de minuit celui dont il mettait en somme là le l'empereur,"des sentinelles immobiles, terroir avait déjà pris leurs pas question devant le fourgon",gpt-4.1-temp0.7,prompt_basic_01,prompt_basic_01,fr,results-ina_last-gpt-4.1-temp0.7.jsonl,results-ina_last-gpt-4.1-temp0.7.jsonl_6,des sentinelles immobiles terroir avait déjà pris leurs pas question devant le fourgon et les garder jusqu'aux douze coups de minuit celui dont il mettait en somme là le l'empereur,NONE,0.8020833333333334,0.796875,-0.006493506493506539,80-99%,0.796875,-0.006493506493506539,-0.006493506493506539,-0.006493506493506539,0.8020833333333334,Negative Improvement
7,../../data/datasets/asr/original/ina/3_impresso2-SingleURL-PHD90010642.txt,ina-last,paris conduit faite aux invalides les ossements de napoléon aujourd'hui était restitué au père celui qui avait peut être été la meilleure penser de sa vie inégalé,aujourd'hui était restitué au père celui qui avait peut être été la meilleure penser de sa vie inégalé,Paris conduisait aux Invalides les ossements de Napoléon. Aujourd'hui était restitué au père celui qui avait peut-être été la meilleure pensée de sa vie inégalée.,Aujourd'hui était restitué au père celui qui avait peut-être été la meilleure pensée de sa vie inégalée.,"paris conduit faite aux invalides les ossements de napoléon aujourd'hui étaient restitués au père, celui qui avait peut-être été la meilleure pensée de sa vie inégalée",aujourd'hui était restitué au père celui qui avait peut-être été la meilleure pensée de sa vie inégalée,gpt-4.1-temp0.7,prompt_basic_01,prompt_basic_01,fr,results-ina_last-gpt-4.1-temp0.7.jsonl,results-ina_last-gpt-4.1-temp0.7.jsonl_7,"paris conduit faite aux invalides les ossements de napoléon aujourd'hui étaient restitués au père, celui qui avait peut-être été la meilleure pensée de sa vie inégalée",NONE,0.9135802469135802,0.9161676646706587,0.002832173490856187,80-99%,0.9161676646706587,0.002832173490856187,0.002832173490856187,0.002832173490856187,0.9135802469135802,Positive Improvement
8,../../data/datasets/asr/original/ina/3_impresso2-SingleURL-PHD90010642.txt,ina-last,minuit le cercueil de françois charles joseph napoléon bonaparte est porté à brad soldat jusqu'à l'appui de canon qui sera son corbillard étrange,minuit le cercueil de françois charles joseph napoléon bonaparte est porté à brad soldat jusqu'à l'appui de canon qui sera son corbillard étrange bien y,"Minuit, le cercueil de François Charles Joseph Napoléon Bonaparte est porté à bras de soldats jusqu'à l'affût de canon qui sera son corbillard étrange et merveilleux.","Minuit, le cercueil de François Charles Joseph Napoléon Bonaparte est porté à bras de soldats jusqu'à l'affût de canon qui sera son corbillard étrange et merveilleux.",minuit le cercueil de François Charles Joseph Napoléon Bonaparte est porté à bras soldat jusqu'à l'affût de canon qui sera son corbillard étrange,minuit le cercueil de François Charles Joseph Napoléon Bonaparte est porté à bras de soldat jusqu'à l'affût de canon qui sera son corbillard étrange bien y,gpt-4.1-temp0.7,prompt_basic_01,prompt_basic_01,fr,results-ina_last-gpt-4.1-temp0.7.jsonl,results-ina_last-gpt-4.1-temp0.7.jsonl_8,minuit le cercueil de François Charles Joseph Napoléon Bonaparte est porté à bras soldat jusqu'à l'affût de canon qui sera son corbillard étrange,NONE,0.8132530120481928,0.8674698795180723,0.06666666666666668,80-99%,0.8674698795180723,0.06666666666666668,0.06666666666666668,0.06666666666666668,0.8132530120481928,Positive Improvement
9,../../data/datasets/asr/original/ina/3_impresso2-SingleURL-PHD90010642.txt,ina-last,bien y minuit cain qui irait par,minuit cain qui,"Minuit quinze. Tiré par vingt hommes,",Minuit quinze.,bien y minuit cahin qui irait par,minuit cahin qui,gpt-4.1-temp0.7,prompt_basic_01,prompt_basic_01,fr,results-ina_last-gpt-4.1-temp0.7.jsonl,results-ina_last-gpt-4.1-temp0.7.jsonl_9,bien y minuit cahin qui irait par,NONE,0.24324324324324326,0.21621621621621623,-0.1111111111111111,0-40%,0.21621621621621623,-0.1111111111111111,-0.1111111111111111,-0.1111111111111111,0.24324324324324326,Negative Improvement
