,filename,dataset_name,ocr.line,ocr.sentence,groundtruth.line,groundtruth.sentence,prediction.line,prediction.sentence,model,prompt,prompt_text,language,file,name_of_file_idx,prediction.line.postprocessed,post-processings,line-lev-ocr,line-lev-pred,line-lev-improvement,quality-band-line,line-lev-pred-postprocessed,line-lev-improvement-postprocessed,overall-levenshtein-improvement,overall-levenshtein-improvement-postprocessed,overall-lev-ocr,improvement-band
0,../../data/datasets/asr/original/ina/3_impresso2-SingleURL-PHD90010642.txt,ina-last,décembre mille neuf cent quarante une réalisation de jacques berniole sur un texte de pierre pas de,décembre mille neuf cent quarante une réalisation de jacques berniole sur un texte de pierre pas de,"Quinze décembre mille neuf cent quarante, une réalisation de Jacques Bernole sur un texte de Pierre Pascal.","Quinze décembre mille neuf cent quarante, une réalisation de Jacques Bernole sur un texte de Pierre Pascal.","Décembre mille neuf cent quarante et une, réalisation de Jacques Berniole sur un texte de Pierre Pasde.","Décembre mille neuf cent quarante et une, réalisation de Jacques Berniole sur un texte de Pierre Pasde.",meta-llama-llama-4-maverick-17b-128e-instruct-fp8-temp0.7,prompt_complex_02,prompt_complex_02,fr,results-ina_last-meta-llama-llama-4-maverick-17b-128e-instruct-fp8-temp0.7.jsonl,results-ina_last-meta-llama-llama-4-maverick-17b-128e-instruct-fp8-temp0.7.jsonl_0,"Décembre mille neuf cent quarante et une, réalisation de Jacques Berniole sur un texte de Pierre Pasde.",NONE,0.8411214953271028,0.8504672897196262,0.011111111111111113,80-99%,0.8504672897196262,0.011111111111111113,0.011111111111111113,0.011111111111111113,0.8411214953271028,Positive Improvement
1,../../data/datasets/asr/original/ina/3_impresso2-SingleURL-PHD90010642.txt,ina-last,déjà trois années là cela se passait à la gare de l'est vous s'étaient amassés à quelques mois de ce jour la foule énorme et combien silencieuse des hommes dans le fascicule portaient la mention immédiatement et sans de l,cela se passait à la gare de l'est vous s'étaient amassés à quelques mois de ce jour la foule énorme et combien silencieuse des hommes dans le fascicule portaient la mention immédiatement et sans de l au,"Déjà trois années de cela. Cela se passait à la Gare de l'Est où s'étaient amassés à quelques mois de ce jour la foule énorme, et combien silencieuse, des hommes dont le fascicule portait la mention""immédiatement et sans délai"".","Cela se passait à la Gare de l'Est où s'étaient amassés à quelques mois de ce jour la foule énorme, et combien silencieuse, des hommes dont le fascicule portait la mention""immédiatement et sans délai"".","Déjà trois années là, cela se passait à la gare de l'Est. Vous étiez amassés, à quelques mois de ce jour, la foule énorme et combien silencieuse des hommes. Dans le fascicule, portaient la mention immédiatement et sans de l'.","Cela se passait à la gare de l'Est. Vous étiez amassés, à quelques mois de ce jour, la foule énorme et combien silencieuse des hommes. Dans le fascicule portaient la mention ""immédiatement et sans délai"".",meta-llama-llama-4-maverick-17b-128e-instruct-fp8-temp0.7,prompt_complex_02,prompt_complex_02,fr,results-ina_last-meta-llama-llama-4-maverick-17b-128e-instruct-fp8-temp0.7.jsonl,results-ina_last-meta-llama-llama-4-maverick-17b-128e-instruct-fp8-temp0.7.jsonl_1,"Déjà trois années là, cela se passait à la gare de l'Est. Vous étiez amassés, à quelques mois de ce jour, la foule énorme et combien silencieuse des hommes. Dans le fascicule, portaient la mention immédiatement et sans de l'.",NONE,0.881578947368421,0.8508771929824561,-0.03482587064676615,80-99%,0.8508771929824561,-0.03482587064676615,-0.03482587064676615,-0.03482587064676615,0.881578947368421,Negative Improvement
2,../../data/datasets/asr/original/ina/3_impresso2-SingleURL-PHD90010642.txt,ina-last,au delà de pompiers vingt huit de la même car le rapide de francfort dix accoster à vingt et un heures cinq bon pour vont immatriculer deux cent sept mille neuf cent soixante douze avait quitté vienne le treize décembre à quatorze dans ce fourgon,delà de pompiers vingt huit de la même car,Cela se passait au quai vingt-huit de la même gare. Le rapide de Francfort venait d'y accoster à vingt et une heures cinq. Son fourgon immatriculé deux cent sept mille neuf cent soixante-douze avait quitté Vienne le treize décembre à quatorze heures. Dans ce fourgon,Cela se passait au quai vingt-huit de la même gare.,"Au-delà de pompiers, vingt-huit de la même. Car le rapide de Francfort dix accosté à vingt et une heures cinq. Bon pour vont immatriculer deux cent sept mille neuf cent soixante-douze. Avait quitté Vienne le treize décembre à quatorze heures dans ce fourgon.","Vérification du texte :
""delà de pompiers vingt huit de la même car""

 Correction : 
""Trente-deux pompiers, vingt-huit de la même caserne""

Cependant, sans la phrase originale, la correction la plus probable est :
""Au-delà de pompiers, vingt-huit de la même caserne""

 Mais comme il y a plusieurs possibilités, une autre correction pourrait être : 
""Delà de pompiers vingt-huit de la même carrière""

La correction la plus plausible est :
""Au-delà de pompiers vingt-huit de la même caserne""

La version la plus probable après correction est donc : 
""Trente n'est pas là mais ""delà"" pourrait être ""de là"" ou ""au-delà"". La correction la plus plausible est donc : ""De là, pompiers vingt-huit de la même caserne"" ou ""Au-delà, vingt-huit pompiers de la même caserne"". Mais sans contexte, la correction la plus simple est :
""De là, vingt-huit pompiers de la même caserne""

Je vais donc choisir une des possibilités les plus probables.
 La correction est : 
""Au-delà, vingt-huit pompiers de la même caserne""

 Mais comme la consigne est de ne rien ajouter, je vais me contenter de corriger les fautes d'orthographe : 
""delà"" -> ""de là"" ou ""Au-delà"" 
""car"" -> ""caserne"" ou ""carrière""

La correction la plus simple est donc : 
""De là, vingt-huit de la même caserne""

Je choisis donc : 
""De là vingt-huit de la même caserne""",meta-llama-llama-4-maverick-17b-128e-instruct-fp8-temp0.7,prompt_complex_02,prompt_complex_02,fr,results-ina_last-meta-llama-llama-4-maverick-17b-128e-instruct-fp8-temp0.7.jsonl,results-ina_last-meta-llama-llama-4-maverick-17b-128e-instruct-fp8-temp0.7.jsonl_2,"Au-delà de pompiers, vingt-huit de la même. Car le rapide de Francfort dix accosté à vingt et une heures cinq. Bon pour vont immatriculer deux cent sept mille neuf cent soixante-douze. Avait quitté Vienne le treize décembre à quatorze heures dans ce fourgon.",NONE,0.7969924812030075,0.8233082706766918,0.033018867924528406,60-80%,0.8233082706766918,0.033018867924528406,0.033018867924528406,0.033018867924528406,0.7969924812030075,Positive Improvement
3,../../data/datasets/asr/original/ina/3_impresso2-SingleURL-PHD90010642.txt,ina-last,se trouvait un cercueil de bronze à huit golden lion que des officiers allemands n'avait pas cessé de veiller tout le long du parcours ce cercueil était celui d'un roi du roi de rome du fils de napoléon il faisait froid,ce cercueil était celui d'un roi du roi de rome du fils de napoléon,"se trouvait un cercueil de bronze à huit gueules de lion que des officiers allemands n'avaient pas cessé de veiller tout le long du parcours. Ce cercueil était celui d'un roi, du roi de Rome, du fils de Napoléon. Il faisait froid,","Ce cercueil était celui d'un roi, du roi de Rome, du fils de Napoléon.","Se trouvait un cercueil de bronze à huit pans, gardé par des officiers allemands qui n'avaient pas cessé de le veiller tout le long du parcours. Ce cercueil était celui d'un roi, le roi de Rome, le fils de Napoléon. Il faisait froid.","Ce cercueil était celui d'un roi, le roi de Rome, le fils de Napoléon.",meta-llama-llama-4-maverick-17b-128e-instruct-fp8-temp0.7,prompt_complex_02,prompt_complex_02,fr,results-ina_last-meta-llama-llama-4-maverick-17b-128e-instruct-fp8-temp0.7.jsonl,results-ina_last-meta-llama-llama-4-maverick-17b-128e-instruct-fp8-temp0.7.jsonl_3,"Se trouvait un cercueil de bronze à huit pans, gardé par des officiers allemands qui n'avaient pas cessé de le veiller tout le long du parcours. Ce cercueil était celui d'un roi, le roi de Rome, le fils de Napoléon. Il faisait froid.",NONE,0.9217391304347826,0.871244635193133,-0.054781763705563265,80-99%,0.871244635193133,-0.054781763705563265,-0.054781763705563265,-0.054781763705563265,0.9217391304347826,Negative Improvement
4,../../data/datasets/asr/original/ina/3_impresso2-SingleURL-PHD90010642.txt,ina-last,très froid même un grand silence règne sur les hommes et sur les choses car la neige tomber comme il se lit dans les contes de fées de notre enfance,un grand silence règne sur les hommes et sur les choses car la neige tomber comme il se lit dans les contes de fées de notre enfance,"très froid même. Un grand silence régnait sur les hommes et sur les choses, car la neige tombait, comme il se lit dans les contes de fées de notre enfance.","Un grand silence régnait sur les hommes et sur les choses, car la neige tombait, comme il se lit dans les contes de fées de notre enfance.","Très froid, même. Un grand silence règne sur les hommes et sur les choses, car la neige tombe comme il se lit dans les contes de fées de notre enfance.",Un grand silence règne sur les hommes et sur les choses car la neige tombe comme il est dit dans les contes de fées de notre enfance.,meta-llama-llama-4-maverick-17b-128e-instruct-fp8-temp0.7,prompt_complex_02,prompt_complex_02,fr,results-ina_last-meta-llama-llama-4-maverick-17b-128e-instruct-fp8-temp0.7.jsonl,results-ina_last-meta-llama-llama-4-maverick-17b-128e-instruct-fp8-temp0.7.jsonl_4,"Très froid, même. Un grand silence règne sur les hommes et sur les choses, car la neige tombe comme il se lit dans les contes de fées de notre enfance.",NONE,0.9225806451612903,0.9354838709677419,0.013986013986013901,80-99%,0.9354838709677419,0.013986013986013901,0.013986013986013901,0.013986013986013901,0.9225806451612903,Positive Improvement
5,../../data/datasets/asr/original/ina/3_impresso2-SingleURL-PHD90010642.txt,ina-last,vingt et un heures un trois heures plus tard les malheureux allait connaître la plus extraordinaire épopée qu'un peuple vaincu ait jamais connu,vingt et un heures un,"Vingt et une heures quinze. Trois heures plus tard, ces cendres malheureuses allaient connaître la plus extraordinaire épopée qu'un peuple vaincu ait jamais connue.",Vingt et une heures quinze.,"Vingt et une heures. Trois heures plus tard, les malheureux allaient connaître la plus extraordinaire épopée qu'un peuple vaincu ait jamais connue.",Vingt et une heures un.,meta-llama-llama-4-maverick-17b-128e-instruct-fp8-temp0.7,prompt_complex_02,prompt_complex_02,fr,results-ina_last-meta-llama-llama-4-maverick-17b-128e-instruct-fp8-temp0.7.jsonl,results-ina_last-meta-llama-llama-4-maverick-17b-128e-instruct-fp8-temp0.7.jsonl_5,"Vingt et une heures. Trois heures plus tard, les malheureux allaient connaître la plus extraordinaire épopée qu'un peuple vaincu ait jamais connue.",NONE,0.8475609756097561,0.8841463414634146,0.04316546762589932,80-99%,0.8841463414634146,0.04316546762589932,0.04316546762589932,0.04316546762589932,0.8475609756097561,Positive Improvement
6,../../data/datasets/asr/original/ina/3_impresso2-SingleURL-PHD90010642.txt,ina-last,des sentinelles immobile terroir avait déjà pris leurs pas question devant le fourgon est les garder jusqu'aux douze coups de minuit celui dont l'mettait en somme la le l'empereur,des sentinelles immobile terroir avait déjà pris leurs pas question devant le fourgon,Des sentinelles immobiles et roides avaient déjà pris leur faction devant le fourgon. Elles allaient garder jusqu'aux douze coups de minuit celui dont l'âme était en somme l'âme de l'empereur.,Des sentinelles immobiles et roides avaient déjà pris leur faction devant le fourgon.,Des sentinelles immobiles terroir avaient déjà pris leurs pas question devant le fourgon et les gardaient jusqu'aux douze coups de minuit celui dont l'on mettait en somme là l'empereur,Des sentinelles immobiles. Terroir avait déjà pris leurs pas en question devant le fourgon.,meta-llama-llama-4-maverick-17b-128e-instruct-fp8-temp0.7,prompt_complex_02,prompt_complex_02,fr,results-ina_last-meta-llama-llama-4-maverick-17b-128e-instruct-fp8-temp0.7.jsonl,results-ina_last-meta-llama-llama-4-maverick-17b-128e-instruct-fp8-temp0.7.jsonl_6,Des sentinelles immobiles terroir avaient déjà pris leurs pas question devant le fourgon et les gardaient jusqu'aux douze coups de minuit celui dont l'on mettait en somme là l'empereur,NONE,0.8020833333333334,0.7864583333333334,-0.01948051948051948,80-99%,0.7864583333333334,-0.01948051948051948,-0.01948051948051948,-0.01948051948051948,0.8020833333333334,Negative Improvement
7,../../data/datasets/asr/original/ina/3_impresso2-SingleURL-PHD90010642.txt,ina-last,paris conduit faite aux invalides les ossements de napoléon aujourd'hui était restitué au père celui qui avait peut être été la meilleure penser de sa vie inégalé,aujourd'hui était restitué au père celui qui avait peut être été la meilleure penser de sa vie inégalé,Paris conduisait aux Invalides les ossements de Napoléon. Aujourd'hui était restitué au père celui qui avait peut-être été la meilleure pensée de sa vie inégalée.,Aujourd'hui était restitué au père celui qui avait peut-être été la meilleure pensée de sa vie inégalée.,Paris conduit aux Invalides les ossements de Napoléon. Aujourd'hui était restitué au père celui qui avait peut-être été la meilleure pensée de sa vie inégalée.,aujourd'hui était restitué au père celui qui avait peut-être été la meilleure pensée de sa vie inégalée,meta-llama-llama-4-maverick-17b-128e-instruct-fp8-temp0.7,prompt_complex_02,prompt_complex_02,fr,results-ina_last-meta-llama-llama-4-maverick-17b-128e-instruct-fp8-temp0.7.jsonl,results-ina_last-meta-llama-llama-4-maverick-17b-128e-instruct-fp8-temp0.7.jsonl_7,Paris conduit aux Invalides les ossements de Napoléon. Aujourd'hui était restitué au père celui qui avait peut-être été la meilleure pensée de sa vie inégalée.,NONE,0.9135802469135802,0.9814814814814815,0.07432432432432441,80-99%,0.9814814814814815,0.07432432432432441,0.07432432432432441,0.07432432432432441,0.9135802469135802,Positive Improvement
8,../../data/datasets/asr/original/ina/3_impresso2-SingleURL-PHD90010642.txt,ina-last,minuit le cercueil de françois charles joseph napoléon bonaparte est porté à brad soldat jusqu'à l'appui de canon qui sera son corbillard étrange,minuit le cercueil de françois charles joseph napoléon bonaparte est porté à brad soldat jusqu'à l'appui de canon qui sera son corbillard étrange bien y,"Minuit, le cercueil de François Charles Joseph Napoléon Bonaparte est porté à bras de soldats jusqu'à l'affût de canon qui sera son corbillard étrange et merveilleux.","Minuit, le cercueil de François Charles Joseph Napoléon Bonaparte est porté à bras de soldats jusqu'à l'affût de canon qui sera son corbillard étrange et merveilleux.","Minuit, le cercueil de François Charles Joseph Napoléon Bonaparte est porté à bord. Soldat jusqu'à l'appui de canon qui sera son corbillard étrange.","Minuit, le cercueil de François Charles Joseph Napoléon Bonaparte est porté à bord. Soldat jusqu'à l'appui de canon, qui sera son corbillard étrange, bien y.",meta-llama-llama-4-maverick-17b-128e-instruct-fp8-temp0.7,prompt_complex_02,prompt_complex_02,fr,results-ina_last-meta-llama-llama-4-maverick-17b-128e-instruct-fp8-temp0.7.jsonl,results-ina_last-meta-llama-llama-4-maverick-17b-128e-instruct-fp8-temp0.7.jsonl_8,"Minuit, le cercueil de François Charles Joseph Napoléon Bonaparte est porté à bord. Soldat jusqu'à l'appui de canon qui sera son corbillard étrange.",NONE,0.8132530120481928,0.8433734939759037,0.03703703703703709,80-99%,0.8433734939759037,0.03703703703703709,0.03703703703703709,0.03703703703703709,0.8132530120481928,Positive Improvement
9,../../data/datasets/asr/original/ina/3_impresso2-SingleURL-PHD90010642.txt,ina-last,bien y minuit cain qui irait par,minuit cain qui,"Minuit quinze. Tiré par vingt hommes,",Minuit quinze.,"Bien sûr, voici le texte corrigé :

""Eh bien, y a-t-il minuit ? Ca n'y irait pas.""

Mais je pense que la bonne correction serait plutôt :
""Et bien y a-t-il minuit ? Ça n'irait pas.""

Cependant, la correction la plus plausible est :
""Eh bien, minuit ? Ça irait ?""

Mais sans contexte, la correction la plus probable est :
""Bien sûr, il est minuit. Qui irait par là ?""

La correction que j'ai choisie :
""Eh bien, minuit ? Ca n'irait pas"" n'est pas parfaite.

Finalement, j'ai choisi :
""Bien y a minuit ? Ça n'irait pas"" non.

La bonne réponse est : 
""Bien sûr, il est minuit. Qui irait par là ?""

Mais la phrase qui me semble la plus probable après correction est :
""Et bien, minuit, qui irait par là ?""

Sans rien ajouter, la correction la plus plausible est :
""Bien y a-t-il minuit ? Ça n'irait pas"" non.

La voici : 
""Bien sûr il est minuit, qui irait par là ?""

Je simplifie :
""Il est minuit, qui irait par là ?""

La correction la plus simple est donc :
""Bien y minuit, qui irait par ?"" -> ""Il est minuit, qui irait par là ?"" ou ""Bien sûr, il est minuit. Qui irait par là ?""

La correction sans rien ajouter : 
""Bien y a minuit, qui irait par là ?""

Je choisis finalement la correction :
""Il est minuit. Qui irait par là ?""

Mais sans rien changer d'autre que les fautes d'orthographe :
""Bien y minuit cain qui irait par"" -> ""Bien y a minuit, Caïn, qui irait par ?""

La réponse finale est donc :
""Bien y a minuit, Caïn, qui irait par ?""","Minuit, Caïn, qui",meta-llama-llama-4-maverick-17b-128e-instruct-fp8-temp0.7,prompt_complex_02,prompt_complex_02,fr,results-ina_last-meta-llama-llama-4-maverick-17b-128e-instruct-fp8-temp0.7.jsonl,results-ina_last-meta-llama-llama-4-maverick-17b-128e-instruct-fp8-temp0.7.jsonl_9,"Bien sûr, voici le texte corrigé :

""Eh bien, y",PRED-TEXT-TRUNCATED|,0.24324324324324326,0.024339360222531293,-0.8999381857518157,0-40%,0.23404255319148937,-0.03782505910165488,-0.8999381857518157,-0.03782505910165488,0.24324324324324326,Negative Improvement
